open_time,prev_position,new_position,exec_price
2024-04-01T00:20:00+00:00,0,-1,71184.27000000
2024-04-01T00:22:00+00:00,-1,1,71174.58000000
2024-04-01T00:28:00+00:00,1,-1,71078.00000000
2024-04-01T00:51:00+00:00,-1,1,71000.05000000
2024-04-01T01:11:00+00:00,1,-1,71052.28000000
2024-04-01T01:28:00+00:00,-1,1,70969.36000000
2024-04-01T01:29:00+00:00,1,-1,70948.26000000
2024-04-01T01:34:00+00:00,-1,1,71081.99000000
2024-04-01T01:40:00+00:00,1,-1,70858.57000000
2024-04-01T02:04:00+00:00,-1,1,70815.85000000
2024-04-01T02:07:00+00:00,1,-1,70847.26000000
2024-04-01T02:12:00+00:00,-1,1,70823.94000000
2024-04-01T02:13:00+00:00,1,-1,70823.94000000
2024-04-01T02:21:00+00:00,-1,1,70880.00000000
2024-04-01T02:30:00+00:00,1,-1,70831.89000000
2024-04-01T02:44:00+00:00,-1,1,70849.98000000
2024-04-01T03:01:00+00:00,1,-1,70863.99000000
2024-04-01T03:22:00+00:00,-1,1,70760.77000000
2024-04-01T03:28:00+00:00,1,-1,70612.08000000
2024-04-01T03:47:00+00:00,-1,1,70665.96000000
2024-04-01T04:01:00+00:00,1,-1,70560.00000000
2024-04-01T04:08:00+00:00,-1,1,70641.76000000
2024-04-01T04:18:00+00:00,1,-1,70562.88000000
2024-04-01T04:32:00+00:00,-1,1,70526.88000000
2024-04-01T04:33:00+00:00,1,-1,70526.22000000
2024-04-01T05:14:00+00:00,-1,1,70449.42000000
2024-04-01T05:19:00+00:00,1,-1,70437.22000000
2024-04-01T06:09:00+00:00,-1,1,69357.78000000
2024-04-01T06:29:00+00:00,1,-1,69365.99000000
2024-04-01T06:32:00+00:00,-1,1,69435.20000000
2024-04-01T06:53:00+00:00,1,-1,69611.99000000
2024-04-01T06:56:00+00:00,-1,1,69656.00000000
2024-04-01T07:03:00+00:00,1,-1,69664.20000000
2024-04-01T07:05:00+00:00,-1,1,69720.00000000
2024-04-01T07:22:00+00:00,1,-1,69728.97000000
2024-04-01T07:31:00+00:00,-1,1,69719.81000000
2024-04-01T07:34:00+00:00,1,-1,69626.89000000
2024-04-01T07:50:00+00:00,-1,1,69687.03000000
2024-04-01T08:01:00+00:00,1,-1,69555.76000000
2024-04-01T08:20:00+00:00,-1,1,69426.07000000
2024-04-01T08:22:00+00:00,1,-1,69368.94000000
2024-04-01T08:38:00+00:00,-1,1,69393.98000000
2024-04-01T08:53:00+00:00,1,-1,69458.98000000
2024-04-01T09:05:00+00:00,-1,1,69460.09000000
2024-04-01T09:23:00+00:00,1,-1,69489.96000000
2024-04-01T09:48:00+00:00,-1,1,69510.00000000
2024-04-01T09:54:00+00:00,1,-1,69431.10000000
2024-04-01T10:11:00+00:00,-1,1,69438.01000000
2024-04-01T10:22:00+00:00,1,-1,69304.99000000
2024-04-01T10:38:00+00:00,-1,1,69460.06000000
2024-04-01T11:22:00+00:00,1,-1,69632.69000000
2024-04-01T11:48:00+00:00,-1,1,69480.33000000
2024-04-01T11:52:00+00:00,1,-1,69500.00000000
2024-04-01T11:55:00+00:00,-1,1,69471.58000000
2024-04-01T11:59:00+00:00,1,-1,69460.01000000
2024-04-01T12:09:00+00:00,-1,1,69580.00000000
2024-04-01T12:36:00+00:00,1,-1,69686.04000000
2024-04-01T12:43:00+00:00,-1,1,69759.64000000
2024-04-01T13:15:00+00:00,1,-1,69766.00000000
2024-04-01T13:27:00+00:00,-1,1,69997.99000000
2024-04-01T13:48:00+00:00,1,-1,69999.00000000
2024-04-01T13:49:00+00:00,-1,1,70020.00000000
2024-04-01T13:52:00+00:00,1,-1,69912.29000000
2024-04-01T13:53:00+00:00,-1,1,69869.66000000
2024-04-01T13:54:00+00:00,1,-1,69797.99000000
2024-04-01T15:24:00+00:00,-1,1,68699.99000000
2024-04-01T15:39:00+00:00,1,-1,68594.56000000
2024-04-01T15:51:00+00:00,-1,1,68585.77000000
2024-04-01T15:54:00+00:00,1,-1,68408.88000000
2024-04-01T16:11:00+00:00,-1,1,68460.59000000
2024-04-01T16:18:00+00:00,1,-1,68367.64000000
2024-04-01T16:22:00+00:00,-1,1,68578.45000000
2024-04-01T16:38:00+00:00,1,-1,68524.12000000
