open_time,prev_position,new_position,exec_price
2024-04-01T00:20:00+00:00,0,-1,71177.15157300
2024-04-01T00:22:00+00:00,-1,1,71181.69745800
2024-04-01T00:28:00+00:00,1,-1,71070.89220000
2024-04-01T00:51:00+00:00,-1,1,71007.15000500
2024-04-01T01:11:00+00:00,1,-1,71045.17477200
2024-04-01T01:28:00+00:00,-1,1,70976.45693600
2024-04-01T01:29:00+00:00,1,-1,70941.16517400
2024-04-01T01:34:00+00:00,-1,1,71089.09819900
2024-04-01T01:40:00+00:00,1,-1,70851.48414300
2024-04-01T02:04:00+00:00,-1,1,70822.93158500
2024-04-01T02:07:00+00:00,1,-1,70840.17527400
2024-04-01T02:12:00+00:00,-1,1,70831.02239400
2024-04-01T02:13:00+00:00,1,-1,70816.85760600
2024-04-01T02:21:00+00:00,-1,1,70887.08800000
2024-04-01T02:30:00+00:00,1,-1,70824.80681100
2024-04-01T02:44:00+00:00,-1,1,70857.06499800
2024-04-01T03:01:00+00:00,1,-1,70856.90360100
2024-04-01T03:22:00+00:00,-1,1,70767.84607700
2024-04-01T03:28:00+00:00,1,-1,70605.01879200
2024-04-01T03:47:00+00:00,-1,1,70673.02659600
2024-04-01T04:01:00+00:00,1,-1,70552.94400000
2024-04-01T04:08:00+00:00,-1,1,70648.82417600
2024-04-01T04:18:00+00:00,1,-1,70555.82371200
2024-04-01T04:32:00+00:00,-1,1,70533.93268800
2024-04-01T04:33:00+00:00,1,-1,70519.16737800
2024-04-01T05:14:00+00:00,-1,1,70456.46494200
2024-04-01T05:19:00+00:00,1,-1,70430.17627800
2024-04-01T06:09:00+00:00,-1,1,69364.71577800
2024-04-01T06:29:00+00:00,1,-1,69359.05340100
2024-04-01T06:32:00+00:00,-1,1,69442.14352000
2024-04-01T06:53:00+00:00,1,-1,69605.02880100
2024-04-01T06:56:00+00:00,-1,1,69662.96560000
2024-04-01T07:03:00+00:00,1,-1,69657.23358000
2024-04-01T07:05:00+00:00,-1,1,69726.97200000
2024-04-01T07:22:00+00:00,1,-1,69721.99710300
2024-04-01T07:31:00+00:00,-1,1,69726.78198100
2024-04-01T07:34:00+00:00,1,-1,69619.92731100
2024-04-01T07:50:00+00:00,-1,1,69693.99870300
2024-04-01T08:01:00+00:00,1,-1,69548.80442400
2024-04-01T08:20:00+00:00,-1,1,69433.01260700
2024-04-01T08:22:00+00:00,1,-1,69362.00310600
2024-04-01T08:38:00+00:00,-1,1,69400.91939800
2024-04-01T08:53:00+00:00,1,-1,69452.03410200
2024-04-01T09:05:00+00:00,-1,1,69467.03600900
2024-04-01T09:23:00+00:00,1,-1,69483.01100400
2024-04-01T09:48:00+00:00,-1,1,69516.95100000
2024-04-01T09:54:00+00:00,1,-1,69424.15689000
2024-04-01T10:11:00+00:00,-1,1,69444.95380100
2024-04-01T10:22:00+00:00,1,-1,69298.05950100
2024-04-01T10:38:00+00:00,-1,1,69467.00600600
2024-04-01T11:22:00+00:00,1,-1,69625.72673100
2024-04-01T11:48:00+00:00,-1,1,69487.27803300
2024-04-01T11:52:00+00:00,1,-1,69493.05000000
2024-04-01T11:55:00+00:00,-1,1,69478.52715800
2024-04-01T11:59:00+00:00,1,-1,69453.06399900
2024-04-01T12:09:00+00:00,-1,1,69586.95800000
2024-04-01T12:36:00+00:00,1,-1,69679.07139600
2024-04-01T12:43:00+00:00,-1,1,69766.61596400
2024-04-01T13:15:00+00:00,1,-1,69759.02340000
2024-04-01T13:27:00+00:00,-1,1,70004.98979900
2024-04-01T13:48:00+00:00,1,-1,69992.00010000
2024-04-01T13:49:00+00:00,-1,1,70027.00200000
2024-04-01T13:52:00+00:00,1,-1,69905.29877100
2024-04-01T13:53:00+00:00,-1,1,69876.64696600
2024-04-01T13:54:00+00:00,1,-1,69791.01020100
2024-04-01T15:24:00+00:00,-1,1,68706.85999900
2024-04-01T15:39:00+00:00,1,-1,68587.70054400
2024-04-01T15:51:00+00:00,-1,1,68592.62857700
2024-04-01T15:54:00+00:00,1,-1,68402.03911200
2024-04-01T16:11:00+00:00,-1,1,68467.43605900
2024-04-01T16:18:00+00:00,1,-1,68360.80323600
2024-04-01T16:22:00+00:00,-1,1,68585.30784500
2024-04-01T16:38:00+00:00,1,-1,68517.26758800
